Código do Programa;Nome do Programa;Área;Código da Instituição;Instituição;Início Mestrado;Início Doutorado;data Atualizacao
41001010033P5;ENGENHARIA AMBIENTAL;10;;UFSC;1994;2001;2019/12/13 16:56:36.725
53001010036P8;ESTRUTURAS E CONSTRU��O CIVIL;10;;UNB;1992;1999;2019/12/13 16:56:36.725
33003017041P4;ENGENHARIA CIVIL;10;;UNICAMP;1986;1995;2019/12/13 16:56:36.725
53001010041P1;TECNOLOGIA AMBIENTAL E RECURSOS H�DRICOS;10;;UNB;1995;2001;2019/12/13 16:56:36.725
32007019005P0;ENGENHARIA CIVIL;10;;UFOP;1992;2005;2019/12/13 16:56:36.725
32002017017P7;ENGENHARIA CIVIL;10;;UFV;1991;2003;2019/12/13 16:56:36.725
30001013003P4;ENGENHARIA AMBIENTAL;10;;UFES;1989;2007;2019/12/13 16:56:36.725
24009016002P1;ENGENHARIA CIVIL E AMBIENTAL;10;;UFCG;1971;;2019/12/13 16:56:36.725
22001018010P8;ENGENHARIA CIVIL (RECURSOS H�DRICOS);10;;UFC;1975;1995;2019/12/13 16:56:36.726
40001016021P0;ENGENHARIA DE RECURSOS H�DRICOS E AMBIENTAL;10;;UFPR;1986;;2019/12/13 16:56:36.726
33002045016P0;CI�NCIAS DA ENGENHARIA AMBIENTAL;10;;USP/SC;1989;1989;2019/12/13 16:56:36.726
31003010006P2;ENGENHARIA CIVIL;10;;UFF;1972;2002;2019/12/13 16:56:36.726
33001014015P0;ENGENHARIA URBANA;10;;UFSCAR;1994;2007;2019/12/13 16:56:36.726
40001016030P0;M�TODOS NUM�RICOS EM ENGENHARIA;10;;UFPR;1994;2003;2019/12/13 16:56:36.726
33011010009P6;ENGENHARIA DE INFRA-ESTRUTURA AERON�UTICA;10;;ITA;1992;;2019/12/13 16:56:36.726
31004016034P9;ENGENHARIA CIVIL;10;;UERJ;2003;;2019/12/13 16:56:36.726
31033016012P4;ENGENHARIA CIVIL;10;;UENF;2003;;2019/12/13 16:56:36.726
51001012010P0;TECNOLOGIAS AMBIENTAIS;10;;UFMS;1999;;2019/12/13 16:56:36.726
33001014018P0;CONSTRU��O CIVIL;10;;UFSCAR;2002;;2019/12/13 16:56:36.726
42002010020P0;ENGENHARIA CIVIL;10;;UFSM;1994;;2019/12/13 16:56:37.196
30001013012P3;ENGENHARIA CIVIL;10;;UFES;1997;;2019/12/13 16:56:37.198
23001011023P5;ENGENHARIA SANIT�RIA;10;;UFRN;1999;;2019/12/13 16:56:37.199
52001016017P7;ENGENHARIA CIVIL;10;;UFG;1997;;2019/12/13 16:56:37.423
42020018005P8;TECNOLOGIA AMBIENTAL;10;;UNISC;2005;;2019/12/13 16:56:37.423
33002010190P3;ENGENHARIA DE SISTEMAS LOG�STICOS;10;;USP;2003;;2019/12/13 16:56:37.430
15001016031P5;ENGENHARIA CIVIL;10;;UFPA;1999;;2019/12/13 16:56:37.720
32001010071P5;CONSTRU��O CIVIL;10;;UFMG;2005;;2019/12/13 16:56:37.723
31007015010P1;ENGENHARIA DE TRANSPORTES;10;;IME;1994;;2019/12/13 16:56:37.730
26001012012P1;ENGENHARIA CIVIL;10;;UFAL;2001;;2019/12/13 16:56:37.752
40001016049P2;CONSTRU��O CIVIL;10;;UFPR;2000;;2019/12/13 16:56:37.752
24001015040P0;ENGENHARIA URBANA;10;;UFPB/J.P.;2002;;2019/12/13 16:56:37.752
40004015027P8;ENGENHARIA URBANA;10;;UEM;2006;;2019/12/13 16:56:37.752
28002016008P6;ENGENHARIA CIVIL E AMBIENTAL;10;;UEFS;2006;;2019/12/13 16:56:37.752
12001015022P8;ENGENHARIA CIVIL;10;;UFAM;2006;;2019/12/13 16:56:37.752
32007019011P0;ENGENHARIA AMBIENTAL;10;;UFOP;2001;;2019/12/13 16:56:37.752
42009014004P5;ENGENHARIA;10;;UPF;2003;;2019/12/13 16:56:37.752
33004099084P5;ENGENHARIA CIVIL;10;;UNESP/IS;1999;;2019/12/13 16:56:37.752
41006011003P7;ENGENHARIA AMBIENTAL;10;;FURB;1998;;2019/12/13 16:56:37.752
28001010038P0;ENGENHARIA AMBIENTAL URBANA;10;;UFBA;1997;;2019/12/13 16:56:37.752
40002012027P5;ENGENHARIA DE EDIFICA��ES E SANEAMENTO;10;;UEL;2003;;2019/12/13 16:56:37.752
25002015002P0;ENGENHARIA CIVIL;10;;UNICAP;2003;;2019/12/13 16:56:37.752
52001016028P9;ENGENHARIA DO MEIO AMBIENTE;10;;UFG;2003;;2019/12/13 16:56:37.752
26001012019P6;RECURSOS HIDRICOS E SANEAMENTO;10;;UFAL;2005;;2019/12/13 16:56:37.752
32006012019P5;ENGENHARIA CIVIL;10;;UFU;2001;;2019/12/13 16:56:37.752
42001013044P6;M�SICA;11;;UFRGS;1987;1995;2019/12/13 16:56:37.752
28001010035P0;ARTES C�NICAS;11;;UFBA;1997;1997;2019/12/13 16:56:37.752
33002010198P4;ARTES VISUAIS;11;;USP;2006;2006;2019/12/13 16:56:37.752
42001013055P8;ARTES VISUAIS;11;;UFRGS;1991;1999;2019/12/13 16:56:37.752
31021018004P7;M�SICA;11;;UNIRIO;1993;1998;2019/12/13 16:56:37.752
28001010026P1;M�SICA;11;;UFBA;1990;1997;2019/12/13 16:56:37.752
33002010200P9;ARTES C�NICAS;11;;USP;2006;2006;2019/12/13 16:56:37.752
31021018003P0;TEATRO;11;;UNIRIO;1991;2000;2019/12/13 16:56:37.752
33003017077P9;M�SICA;11;;UNICAMP;2001;2001;2019/12/13 16:56:37.752
31001017089P9;ARTES VISUAIS;11;;UFRJ;1985;1999;2019/12/13 16:56:37.752
32001010051P4;ARTES;11;;UFMG;1995;2006;2019/12/13 16:56:37.752
53001010040P5;ARTES;11;;UNB;1994;-1;2019/12/13 16:56:37.753
33003017059P0;ARTES;11;;UNICAMP;1989;2005;2019/12/13 16:56:37.753
33002010114P5;ARTES;11;;USP;1974;1980;2019/12/13 16:56:37.753
31001017072P9;M�SICA;11;;UFRJ;1980;;2019/12/13 16:56:37.753
